o,h,l,c,v,timestamp
1410.4000244140625,1412.4000244140625,1409.5999755859375,1410.800048828125,192651,2025-09-19 07:20:00+00:00
1411.0,1412.300048828125,1410.5999755859375,1411.699951171875,103849,2025-09-19 07:25:00+00:00
1411.699951171875,1413.5,1411.5,1413.0,82504,2025-09-19 07:30:00+00:00
1413.0,1413.5,1412.699951171875,1412.699951171875,60089,2025-09-19 07:35:00+00:00
1412.699951171875,1413.0,1412.4000244140625,1412.699951171875,33728,2025-09-19 07:40:00+00:00
1412.800048828125,1413.9000244140625,1412.699951171875,1413.5,76054,2025-09-19 07:45:00+00:00
1413.300048828125,1413.9000244140625,1413.0,1413.199951171875,48643,2025-09-19 07:50:00+00:00
1413.0999755859375,1413.5,1412.199951171875,1412.5999755859375,107220,2025-09-19 07:55:00+00:00
1412.699951171875,1413.5999755859375,1412.5,1412.699951171875,108476,2025-09-19 08:00:00+00:00
1412.800048828125,1414.5,1411.9000244140625,1412.9000244140625,200570,2025-09-19 08:05:00+00:00
1412.9000244140625,1413.4000244140625,1412.300048828125,1412.5999755859375,49050,2025-09-19 08:10:00+00:00
1412.5999755859375,1412.699951171875,1411.199951171875,1412.0999755859375,41308,2025-09-19 08:15:00+00:00
1412.0999755859375,1412.0999755859375,1411.5,1411.5,39384,2025-09-19 08:20:00+00:00
1411.5999755859375,1412.4000244140625,1410.5999755859375,1412.0,94410,2025-09-19 08:25:00+00:00
1412.199951171875,1414.0,1411.9000244140625,1412.9000244140625,116704,2025-09-19 08:30:00+00:00
1412.9000244140625,1413.0,1411.699951171875,1412.300048828125,35033,2025-09-19 08:35:00+00:00
1412.300048828125,1412.5999755859375,1412.199951171875,1412.5999755859375,44028,2025-09-19 08:40:00+00:00
1412.5999755859375,1414.5,1411.199951171875,1412.0999755859375,201279,2025-09-19 08:45:00+00:00
1412.199951171875,1412.199951171875,1410.800048828125,1411.199951171875,69456,2025-09-19 08:50:00+00:00
1411.199951171875,1411.300048828125,1410.699951171875,1410.800048828125,78646,2025-09-19 08:55:00+00:00
1411.0,1412.0,1410.5999755859375,1411.699951171875,89645,2025-09-19 09:00:00+00:00
1411.9000244140625,1412.699951171875,1411.9000244140625,1412.5999755859375,73446,2025-09-19 09:05:00+00:00
1412.5,1413.0,1411.0999755859375,1412.300048828125,102571,2025-09-19 09:10:00+00:00
1412.4000244140625,1413.0999755859375,1412.300048828125,1412.800048828125,73396,2025-09-19 09:15:00+00:00
1412.9000244140625,1413.0999755859375,1412.4000244140625,1412.699951171875,74871,2025-09-19 09:20:00+00:00
1412.5999755859375,1412.9000244140625,1412.4000244140625,1412.4000244140625,76208,2025-09-19 09:25:00+00:00
1412.4000244140625,1412.5,1407.4000244140625,1407.699951171875,1581785,2025-09-19 09:30:00+00:00
1407.5,1407.800048828125,1406.0,1406.5,1277612,2025-09-19 09:35:00+00:00
1406.5,1406.800048828125,1406.199951171875,1406.300048828125,1126164,2025-09-19 09:40:00+00:00
1406.300048828125,1407.9000244140625,1406.300048828125,1407.0,1329169,2025-09-19 09:45:00+00:00
1407.0,1407.0999755859375,1406.5,1406.699951171875,1121641,2025-09-19 09:50:00+00:00
1406.800048828125,1410.199951171875,1406.199951171875,1409.4000244140625,1129342,2025-09-19 09:55:00+00:00
